Data	Standard	Correction	Scaling	SleekitLight	SleekitHeavy
bloom-560m/0.mlp.dense_4h_to_h	0.009261817671358585	0.0045657032169401646	0.007406672928482294	0.003400946967303753	0.0024579232558608055
bloom-560m/0.mlp.dense_h_to_4h	0.05988338589668274	0.05176138877868652	0.058643292635679245	0.050395578145980835	0.042099788784980774
bloom-560m/0.self_attention.dense	0.00542121846228838	0.0016136437188833952	0.001209806650876999	0.0010630057659000158	0.0007837587036192417
bloom-560m/0.self_attention.query_key_value	0.08817244321107864	0.0826367661356926	0.08442578464746475	0.07752843201160431	0.062196776270866394
bloom-560m/1.mlp.dense_4h_to_h	0.004069960210472345	0.0034952897112816572	0.003669610247015953	0.0031338268890976906	0.0028371461667120457
bloom-560m/1.mlp.dense_h_to_4h	0.08524500578641891	0.07284083217382431	0.08353161811828613	0.07211706042289734	0.0581345371901989
bloom-560m/1.self_attention.dense	0.0016475010197609663	0.001003403216600418	0.0011967630125582218	0.0009571915725246072	0.0007608418818563223
bloom-560m/1.self_attention.query_key_value	0.1111893281340599	0.10641787201166153	0.10866516083478928	0.10331020504236221	0.08070292323827744
bloom-560m/10.mlp.dense_4h_to_h	0.006181653589010239	0.005880821030586958	0.005732682533562183	0.005408627446740866	0.005051196552813053
bloom-560m/10.mlp.dense_h_to_4h	0.103194460272789	0.09391868114471436	0.10350434482097626	0.09425505995750427	0.07597154378890991
bloom-560m/10.self_attention.dense	0.0030725111719220877	0.003042008262127638	0.0031210053712129593	0.002965538762509823	0.002626134315505624
bloom-560m/10.self_attention.query_key_value	2.4113929271698	0.7017410397529602	0.7092733979225159	0.48857975006103516	0.34712865948677063
bloom-560m/11.mlp.dense_4h_to_h	0.006179746240377426	0.00593368336558342	0.005948357284069061	0.0056236376985907555	0.005212743766605854
bloom-560m/11.mlp.dense_h_to_4h	0.10633356124162674	0.09735322743654251	0.10686210542917252	0.09733597189188004	0.07924345135688782
bloom-560m/11.self_attention.dense	0.0029183460865169764	0.002851128578186035	0.0029733236879110336	0.0028479434549808502	0.002527389908209443
bloom-560m/11.self_attention.query_key_value	0.6787301898002625	0.501194417476654	0.3790598213672638	0.3541966676712036	0.25099053978919983
bloom-560m/12.mlp.dense_4h_to_h	0.0069244252517819405	0.0067287469282746315	0.006933131255209446	0.00653159711509943	0.006055832840502262
bloom-560m/12.mlp.dense_h_to_4h	0.1312580406665802	0.12149976193904877	0.13290521502494812	0.1216922476887703	0.1002502590417862
bloom-560m/12.self_attention.dense	0.0029017727356404066	0.0028723636642098427	0.0029256464913487434	0.002822350710630417	0.002516184700652957
bloom-560m/12.self_attention.query_key_value	0.9373602271080017	0.5782198309898376	0.5240728259086609	0.43922528624534607	0.3107406198978424
bloom-560m/13.mlp.dense_4h_to_h	0.0067512271925807	0.0065865423530340195	0.006752984598278999	0.006408052518963814	0.005962220020592213
bloom-560m/13.mlp.dense_h_to_4h	0.13642580807209015	0.12621308863162994	0.13755327463150024	0.12615835666656494	0.10540851950645447
bloom-560m/13.self_attention.dense	0.002959238365292549	0.0029303536284714937	0.002966097556054592	0.0028585828840732574	0.0025552231818437576
bloom-560m/13.self_attention.query_key_value	0.6084157824516296	0.5070511698722839	0.44524505734443665	0.4195385277271271	0.28811463713645935
bloom-560m/14.mlp.dense_4h_to_h	0.007079045753926039	0.006873336620628834	0.0070700878277421	0.006687581539154053	0.006231339648365974
bloom-560m/14.mlp.dense_h_to_4h	0.13610762357711792	0.12678436934947968	0.1373949497938156	0.1267513632774353	0.10648661851882935
bloom-560m/14.self_attention.dense	0.0025919838808476925	0.0025600376538932323	0.002611761912703514	0.0025394116528332233	0.002207364421337843
bloom-560m/14.self_attention.query_key_value	0.5733640789985657	0.478922963142395	0.44251084327697754	0.4038452208042145	0.28375518321990967
bloom-560m/15.mlp.dense_4h_to_h	0.007559134159237146	0.007337575778365135	0.007513364776968956	0.007160317152738571	0.006690175738185644
bloom-560m/15.mlp.dense_h_to_4h	0.13920508325099945	0.12940165400505066	0.14029911160469055	0.12888024747371674	0.10849873721599579
bloom-560m/15.self_attention.dense	0.0025897743180394173	0.002548874355852604	0.0025861053727567196	0.002512481063604355	0.0022326100151985884
bloom-560m/15.self_attention.query_key_value	0.5737773180007935	0.4748191833496094	0.416642427444458	0.39358511567115784	0.28619858622550964
bloom-560m/16.mlp.dense_4h_to_h	0.008406012319028378	0.008232724852859974	0.008386742323637009	0.008031988516449928	0.0075029004365205765
bloom-560m/16.mlp.dense_h_to_4h	0.13867543637752533	0.13054071366786957	0.14218993484973907	0.13029469549655914	0.10910564661026001
bloom-560m/16.self_attention.dense	0.0028220252133905888	0.002776028122752905	0.0028612040914595127	0.0027774886693805456	0.002472085878252983
bloom-560m/16.self_attention.query_key_value	0.6062650084495544	0.5153651833534241	0.4519478380680084	0.4328041970729828	0.3075037896633148
bloom-560m/17.mlp.dense_4h_to_h	0.009731301106512547	0.009527756832540035	0.00973606575280428	0.009266069158911705	0.008665438741445541
bloom-560m/17.mlp.dense_h_to_4h	0.1402624100446701	0.13070890307426453	0.14364378154277802	0.1308886706829071	0.10884830355644226
bloom-560m/17.self_attention.dense	0.003020037431269884	0.0028556152246892452	0.0031686373986303806	0.002844851464033127	0.0024765029083937407
bloom-560m/17.self_attention.query_key_value	0.4986930787563324	0.41467761993408203	0.3806239664554596	0.35357344150543213	0.26344719529151917
bloom-560m/18.mlp.dense_4h_to_h	0.01138556282967329	0.011206982657313347	0.011386499740183353	0.010924827307462692	0.010230191983282566
bloom-560m/18.mlp.dense_h_to_4h	0.14633186161518097	0.13529381155967712	0.14930492639541626	0.13507378101348877	0.1119401603937149
bloom-560m/18.self_attention.dense	0.0038609893526881933	0.003677085041999817	0.0039023826830089092	0.0036359629593789577	0.003223518608137965
bloom-560m/18.self_attention.query_key_value	1.0194147825241089	0.5038934350013733	0.4310646951198578	0.3896506726741791	0.28566455841064453
bloom-560m/19.mlp.dense_4h_to_h	0.013706400990486145	0.013463342562317848	0.013623643666505814	0.013059751130640507	0.012201805599033833
bloom-560m/19.mlp.dense_h_to_4h	0.1513909101486206	0.13978826999664307	0.15359120070934296	0.13938668370246887	0.1160425916314125
bloom-560m/19.self_attention.dense	0.004893177188932896	0.0047913058660924435	0.005085192620754242	0.004733376204967499	0.004180449992418289
bloom-560m/19.self_attention.query_key_value	0.6905387043952942	0.5138118863105774	0.4563623368740082	0.42353585362434387	0.2939889430999756
bloom-560m/2.mlp.dense_4h_to_h	0.004934975411742926	0.004673991352319717	0.004943713545799255	0.004579361993819475	0.0042114476673305035
bloom-560m/2.mlp.dense_h_to_4h	0.13566648960113525	0.11740126460790634	0.1344229280948639	0.11620612442493439	0.09198228269815445
bloom-560m/2.self_attention.dense	0.0011085168225690722	0.0009764955611899495	0.0010397436562925577	0.0009376673842780292	0.0007545092958025634
bloom-560m/2.self_attention.query_key_value	0.12719334661960602	0.12491331249475479	0.12555187940597534	0.12289849668741226	0.09584030508995056
bloom-560m/20.mlp.dense_4h_to_h	0.025676609948277473	0.020054753869771957	0.020159324631094933	0.018510989844799042	0.01655794493854046
bloom-560m/20.mlp.dense_h_to_4h	0.16413109004497528	0.14448851346969604	0.16371574997901917	0.14386267960071564	0.11878657341003418
bloom-560m/20.self_attention.dense	0.012414848431944847	0.009738749824464321	0.009357457980513573	0.008886784315109253	0.006864370312541723
bloom-560m/20.self_attention.query_key_value	0.7562564015388489	0.5551373362541199	0.49920526146888733	0.45837417244911194	0.31192272901535034
bloom-560m/21.mlp.dense_4h_to_h	0.21410620212554932	0.03920682519674301	0.04561874270439148	0.035484641790390015	0.030589530244469643
bloom-560m/21.mlp.dense_h_to_4h	0.16638818383216858	0.14615964889526367	0.1684589833021164	0.14609533548355103	0.11902140825986862
bloom-560m/21.self_attention.dense	0.26251834630966187	0.0534699410200119	0.03513433784246445	0.033988215029239655	0.02073383703827858
bloom-560m/21.self_attention.query_key_value	0.9429238438606262	0.5981388092041016	0.6257637143135071	0.504038393497467	0.35699009895324707
bloom-560m/22.mlp.dense_4h_to_h	0.04548906162381172	0.03853742405772209	0.04112454503774643	0.03705989569425583	0.03235683590173721
bloom-560m/22.mlp.dense_h_to_4h	0.2134031355381012	0.1389065682888031	0.25516197085380554	0.13910314440727234	0.11112800240516663
bloom-560m/22.self_attention.dense	0.4722824990749359	0.09038664400577545	0.05341890826821327	0.07280682027339935	0.029378771781921387
bloom-560m/22.self_attention.query_key_value	3.199054002761841	0.8175091743469238	0.7751975059509277	0.4943506419658661	0.29401734471321106
bloom-560m/23.mlp.dense_4h_to_h	0.02653198316693306	0.024609696120023727	0.02456727996468544	0.02169894054532051	0.014769424684345722
bloom-560m/23.mlp.dense_h_to_4h	0.3819694221019745	0.1165262907743454	0.2794579565525055	0.1146482527256012	0.09159888327121735
bloom-560m/23.self_attention.dense	0.010952427983283997	0.010125940665602684	0.011374995112419128	0.010262271389365196	0.006059599108994007
bloom-560m/23.self_attention.query_key_value	0.16389714181423187	0.12138033658266068	0.15392494201660156	0.11535435169935226	0.09400609880685806
bloom-560m/3.mlp.dense_4h_to_h	0.006810733117163181	0.006129460409283638	0.0065888911485672	0.005937489215284586	0.005495792254805565
bloom-560m/3.mlp.dense_h_to_4h	0.13633854687213898	0.12356090545654297	0.13658970594406128	0.12315909564495087	0.09883293509483337
bloom-560m/3.self_attention.dense	0.0022499363403767347	0.0017986723687499762	0.002019827254116535	0.0017740095499902964	0.0012306618737056851
bloom-560m/3.self_attention.query_key_value	0.13088801503181458	0.12811659276485443	0.12893198430538177	0.12619651854038239	0.09949900954961777
bloom-560m/4.mlp.dense_4h_to_h	0.06320464611053467	0.06214260309934616	0.06320591270923615	0.05810202285647392	0.018231447786092758
bloom-560m/4.mlp.dense_h_to_4h	0.12017898261547089	0.11149520426988602	0.12149269133806229	0.11168999969959259	0.08886692672967911
bloom-560m/4.self_attention.dense	0.0021887270268052816	0.0017216864507645369	0.002097348216921091	0.0017299861647188663	0.0014093422796577215
bloom-560m/4.self_attention.query_key_value	0.1352074146270752	0.12895549833774567	0.13153021037578583	0.12677276134490967	0.09928245097398758
bloom-560m/5.mlp.dense_4h_to_h	0.007658330257982016	0.007180850952863693	0.007219239603728056	0.00663310382515192	0.006141043733805418
bloom-560m/5.mlp.dense_h_to_4h	0.09809760749340057	0.09155930578708649	0.10011124610900879	0.0922832116484642	0.07155054807662964
bloom-560m/5.self_attention.dense	0.002563572721555829	0.0019384697079658508	0.002144570928066969	0.001928125275298953	0.001664689858444035
bloom-560m/5.self_attention.query_key_value	0.17324495315551758	0.15459208190441132	0.15738408267498016	0.15031923353672028	0.11369818449020386
bloom-560m/6.mlp.dense_4h_to_h	0.006976254750043154	0.006673681549727917	0.0069596851244568825	0.006327955983579159	0.005822270642966032
bloom-560m/6.mlp.dense_h_to_4h	0.11936026066541672	0.10937878489494324	0.12158985435962677	0.11028127372264862	0.08596035093069077
bloom-560m/6.self_attention.dense	0.0027895858511328697	0.002724788151681423	0.0028551770374178886	0.002764340490102768	0.002385616535320878
bloom-560m/6.self_attention.query_key_value	0.2754334509372711	0.23362821340560913	0.22307495772838593	0.21489186584949493	0.15172673761844635
bloom-560m/7.mlp.dense_4h_to_h	0.0058143893256783485	0.0052649034187197685	0.004621724132448435	0.004346007946878672	0.0040892050601542
bloom-560m/7.mlp.dense_h_to_4h	0.06752751767635345	0.06141619384288788	0.06830481439828873	0.062347590923309326	0.04702392965555191
bloom-560m/7.self_attention.dense	0.0024902811273932457	0.0020997077226638794	0.002499234862625599	0.0020652050152420998	0.0018122212495654821
bloom-560m/7.self_attention.query_key_value	0.28244104981422424	0.2178952693939209	0.22107374668121338	0.19818353652954102	0.13292045891284943
bloom-560m/8.mlp.dense_4h_to_h	0.005813957192003727	0.004964053630828857	0.003475976176559925	0.0033144732005894184	0.003126547671854496
bloom-560m/8.mlp.dense_h_to_4h	0.049012839794158936	0.04426983743906021	0.048450060188770294	0.04486085847020149	0.03450876101851463
bloom-560m/8.self_attention.dense	0.00240566348657012	0.002349316142499447	0.002405118430033326	0.0022684514988213778	0.0020358162000775337
bloom-560m/8.self_attention.query_key_value	0.5046119689941406	0.3540906608104706	0.3324538469314575	0.2908160984516144	0.20134849846363068
bloom-560m/9.mlp.dense_4h_to_h	0.005621066316962242	0.004520677030086517	0.0029641648288816214	0.0028029540553689003	0.0026553617790341377
bloom-560m/9.mlp.dense_h_to_4h	0.04063021391630173	0.03615843504667282	0.03969280794262886	0.035975538194179535	0.027139093726873398
bloom-560m/9.self_attention.dense	0.0025484899524599314	0.0025040162727236748	0.0026214467361569405	0.0025033182464540005	0.0021375459618866444
bloom-560m/9.self_attention.query_key_value	0.6274037957191467	0.42471835017204285	0.3334019184112549	0.3048236668109894	0.21473507583141327
opt-125m/0.fc1	0.004431982059031725	0.003016456263139844	0.004532901104539633	0.002929338486865163	0.002416541101410985
opt-125m/0.fc2	0.011487309820950031	0.011420541442930698	0.005847988184541464	0.005190870724618435	0.0008878547814674675
opt-125m/0.self_attn.k_proj	0.6866617202758789	0.6729372143745422	0.5267636775970459	0.5026825666427612	0.32759013772010803
opt-125m/0.self_attn.out_proj	0.0003118788299616426	0.00012117946607759222	0.00015342172991950065	0.00011452050966909155	8.058176899794489e-05
opt-125m/0.self_attn.q_proj	0.4478018283843994	0.42183342576026917	0.35205626487731934	0.32490941882133484	0.24002176523208618
opt-125m/0.self_attn.v_proj	0.003959957510232925	0.0037423090543597937	0.00376504915766418	0.0034056324511766434	0.002658923389390111
opt-125m/1.fc1	0.009006244130432606	0.00783103983849287	0.03833561763167381	0.013021317310631275	0.00596659816801548
opt-125m/1.fc2	0.0016693630022928119	0.0016541210934519768	0.001657939632423222	0.0016324259340763092	0.0006441616569645703
opt-125m/1.self_attn.k_proj	0.5965722799301147	0.5752498507499695	0.41681385040283203	0.3936755359172821	0.17746810615062714
opt-125m/1.self_attn.out_proj	9.54381757765077e-05	8.602432353654876e-05	9.001962462207302e-05	7.852004637243226e-05	5.858282383996993e-05
opt-125m/1.self_attn.q_proj	0.32337260246276855	0.28316164016723633	0.23609350621700287	0.19892044365406036	0.1030571237206459
opt-125m/1.self_attn.v_proj	0.004305974114686251	0.004338155034929514	0.004643300548195839	0.004348082467913628	0.002920623170211911
opt-125m/10.fc1	0.038967784494161606	0.025370629504323006	0.04001535475254059	0.025250202044844627	0.02140045166015625
opt-125m/10.fc2	0.003087084973230958	0.0030581336468458176	0.003065953031182289	0.00289240968413651	0.0026794765144586563
opt-125m/10.self_attn.k_proj	1.0083492994308472	0.9236030578613281	0.8090880513191223	0.7934813499450684	0.5752549767494202
opt-125m/10.self_attn.out_proj	0.0011878813384100795	0.0011684194905683398	0.0012104158522561193	0.0011675589485093951	0.0010533289751037955
opt-125m/10.self_attn.q_proj	0.6279193758964539	0.5370195508003235	0.5162964463233948	0.486960768699646	0.3616335391998291
opt-125m/10.self_attn.v_proj	0.04455094411969185	0.045234810560941696	0.045629750937223434	0.043634962290525436	0.038587018847465515
opt-125m/11.fc1	0.05414266511797905	0.030567241832613945	0.06720582395792007	0.031292665749788284	0.025536254048347473
opt-125m/11.fc2	0.07021898776292801	0.06969675421714783	0.07020298391580582	0.06884659826755524	0.004972448572516441
opt-125m/11.self_attn.k_proj	0.4828827679157257	0.46396541595458984	0.4302072525024414	0.41646337509155273	0.3285394012928009
opt-125m/11.self_attn.out_proj	0.003451672615483403	0.003402235684916377	0.0030582838226109743	0.002976243617013097	0.002529230434447527
opt-125m/11.self_attn.q_proj	0.3239366114139557	0.28771185874938965	0.30917099118232727	0.2737322151660919	0.22430376708507538
opt-125m/11.self_attn.v_proj	0.05210929736495018	0.05259774252772331	0.05227706953883171	0.05101912096142769	0.0463283397257328
opt-125m/2.fc1	0.011449088342487812	0.007496003061532974	0.024623602628707886	0.007443241309374571	0.006084066350013018
opt-125m/2.fc2	0.011191043071448803	0.011172793805599213	0.00787115003913641	0.007478684186935425	0.0009872062364593148
opt-125m/2.self_attn.k_proj	1.0693111419677734	0.886277973651886	0.8203207850456238	0.7417153716087341	0.3827955424785614
opt-125m/2.self_attn.out_proj	6.005317482049577e-05	5.834158218931407e-05	6.226450932445005e-05	5.843429244123399e-05	5.159883221494965e-05
opt-125m/2.self_attn.q_proj	0.9641015529632568	0.7372542023658752	0.6288711428642273	0.5679501891136169	0.2996382415294647
opt-125m/2.self_attn.v_proj	0.013836176134645939	0.013068250380456448	0.018998542800545692	0.017051739618182182	0.009822028689086437
opt-125m/3.fc1	0.00858453381806612	0.005824495106935501	0.010464792139828205	0.00575166055932641	0.004816196393221617
opt-125m/3.fc2	0.0007704021409153938	0.0007642185664735734	0.0007648317259736359	0.0007532290183007717	0.0005300748161971569
opt-125m/3.self_attn.k_proj	1.8707590103149414	1.3628586530685425	1.177894115447998	0.8587978482246399	0.44737496972084045
opt-125m/3.self_attn.out_proj	6.900347216287628e-05	6.750330067006871e-05	7.01172393746674e-05	6.686748383799568e-05	5.936272282269783e-05
opt-125m/3.self_attn.q_proj	1.6401828527450562	1.1652013063430786	1.0430930852890015	0.7945690751075745	0.4265373647212982
opt-125m/3.self_attn.v_proj	0.02392864227294922	0.022448673844337463	0.026889897882938385	0.024519899860024452	0.016132578253746033
opt-125m/4.fc1	0.016433363780379295	0.009547867812216282	0.02089780569076538	0.009456210769712925	0.007952850311994553
opt-125m/4.fc2	0.000957865035161376	0.0009434113162569702	0.000901950232218951	0.0008702546474523842	0.0006504521588794887
opt-125m/4.self_attn.k_proj	2.2163572311401367	1.619741439819336	1.3553720712661743	0.9964702725410461	0.4845075309276581
opt-125m/4.self_attn.out_proj	9.891948866425082e-05	9.665314428275451e-05	9.944974590325728e-05	9.551834227750078e-05	8.739927579881623e-05
opt-125m/4.self_attn.q_proj	1.5532411336898804	1.0856925249099731	1.0685359239578247	0.806448757648468	0.4357757568359375
opt-125m/4.self_attn.v_proj	0.026225296780467033	0.023907816037535667	0.03052758239209652	0.027034131810069084	0.018523940816521645
opt-125m/5.fc1	0.011199708096683025	0.00855388306081295	0.015848034992814064	0.00854010321199894	0.007216142024844885
opt-125m/5.fc2	0.0005148348864167929	0.0005102493450976908	0.0004577248764690012	0.000427658116677776	0.0003989411925431341
opt-125m/5.self_attn.k_proj	2.1462268829345703	1.5604444742202759	1.4356122016906738	1.0009790658950806	0.5348058938980103
opt-125m/5.self_attn.out_proj	0.0001696249091764912	0.00016700878040865064	0.00017184142780024558	0.0001652529026614502	0.00015014679229352623
opt-125m/5.self_attn.q_proj	1.5289669036865234	1.1226943731307983	1.1431809663772583	0.8473408818244934	0.5421043038368225
opt-125m/5.self_attn.v_proj	0.021564483642578125	0.0195111483335495	0.02328382432460785	0.020800838246941566	0.015800761058926582
opt-125m/6.fc1	0.012013339437544346	0.00866195559501648	0.017986617982387543	0.00865746010094881	0.007241568062454462
opt-125m/6.fc2	0.0006460095755755901	0.0006393363000825047	0.0005881692632101476	0.0005456265644170344	0.0005051955231465399
opt-125m/6.self_attn.k_proj	2.0684187412261963	1.5267890691757202	1.396009922027588	1.0193983316421509	0.5453603863716125
opt-125m/6.self_attn.out_proj	0.00023316917940974236	0.00022972386796027422	0.00023883003450464457	0.00022850133245810866	0.00020667158241849393
opt-125m/6.self_attn.q_proj	1.317380428314209	0.9306333661079407	0.9375338554382324	0.7048712372779846	0.4448208510875702
opt-125m/6.self_attn.v_proj	0.02611498534679413	0.024292143061757088	0.028076699003577232	0.02512655220925808	0.02015809528529644
